Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)
3045	26.7458	-2.275436	5.380699
3046	26.7458	3.917319	4.036376
3047	26.7458	-3.922141	4.072084
3048	26.7458	4.663743	3.228733
3049	26.7458	-4.58122	3.211197
3050	26.7458	-5.212346	2.144923
3051	26.7458	5.411322	1.170288
3052	26.7458	-5.95088	0.1035073
3053	26.7458	5.47614	-1.064692
3054	26.7458	-5.295698	-0.7399778
3055	26.7458	-5.064167	-2.021141
3056	26.7458	4.594422	-3.16353
3057	26.7458	-4.646932	-3.128603
3058	26.7458	4.041151	-4.043144
3059	26.7458	-4.04625	-4.081822
3060	26.7458	3.115596	-4.70351
3061	26.7458	-3.197906	-4.850064
3062	26.7458	2.126769	-5.127892
3063	26.7458	-0.7545884	-5.13436
3064	26.7458	0.1115671	-5.797956
3065	26.7458	1.053886	-5.421354
3066	26.7458	0.0314	6.813905
3067	26.7458	1.348267	6.719013
3068	26.7458	-1.30323	6.666943
3069	26.7458	-2.634366	6.290243
3070	26.7458	3.80965	5.729405
3071	26.7458	-3.844968	5.772764
3072	26.7458	4.813728	4.8694
3073	26.7458	-4.837959	4.89636
3074	26.7458	5.6395	3.830333
3075	26.7458	-5.657781	3.849848
3076	26.7458	6.225618	2.645547
3077	26.7458	-6.311939	2.67949
3078	26.7458	6.588749	1.376812
3079	26.7458	6.704987	0.0793
3080	26.7458	6.630883	-1.286648
3081	26.7458	-6.655881	-1.271566
3082	26.7458	6.248153	-2.573907
3083	26.7458	5.660704	-3.757851
3084	26.7458	-5.669277	-3.740135
3085	26.7458	4.821989	-4.77139
3086	26.7458	-4.848392	-4.833227
3087	26.7458	3.795004	-5.64443
3088	26.7458	-3.794798	-5.724854
3089	26.7458	2.611006	-6.24361
3090	26.7458	-2.52182	-6.252726
3091	26.7458	-1.269878	-6.584051
3092	26.7458	0.0134	-6.741029
3093	26.7458	3.082594	-7.390277
3094	26.7458	4.474514	-6.645792
3095	26.7458	5.684472	-5.655995
3096	26.7458	6.668562	-4.442646
3097	26.7458	7.386751	-3.047369
3098	26.7458	7.829677	-1.527576
3099	26.7458	7.98183	0.0368
3100	26.7458	7.848485	1.594857
3101	26.7458	7.412376	3.095421
3102	26.7458	6.686822	4.49553
3103	26.7458	5.706129	5.714826
3104	26.7458	4.490192	6.738018
3105	26.7458	3.094816	7.484548
3106	26.7458	1.57998	7.925087
3107	26.7458	0.0188	8.077222
3108	26.7458	-1.562438	7.916465
3109	26.7458	-3.102191	7.475223
3110	26.7458	-4.504864	6.765517
3111	26.7458	-5.715847	5.755798
3112	26.7458	-6.711886	4.532774
3113	26.7458	-7.462859	3.138575
3114	26.7458	-7.957085	1.648407
3115	26.7458	-8.120281	0.0198
3116	26.7458	-7.908254	-1.554654
3117	26.7458	-7.424634	-3.041036
3118	26.7458	-6.697728	-4.426318
3119	26.7458	-5.701083	-5.686455
3120	26.7458	-4.454309	-6.708511
3121	26.7458	-3.027917	-7.406024
3122	26.7458	-1.542815	-7.841232
3123	26.7458	0.0115	-8.004337
3124	26.7458	1.585732	-7.853058
3125	26.7458	-2.197784	0.8672163
3126	26.7458	-1.074387	2.636466
3127	26.7458	1.053391	-0.480076
3128	26.7458	-3.969005	-1.726678
3129	26.7458	-2.686068	2.00993
3130	26.7458	-2.344251	3.938627
3131	26.7458	0.3347611	3.478247
3132	26.7458	4.066504	1.851712
